pnu,landuse,stdg_addr,ldcg_cd,fl_nm,fl_ar,updt_ymd
4159037022107770095,paddy,경기도 화성시 장안면 석포리,답,시설,96.5728442906,
4159037022107770005,paddy,경기도 화성시 장안면 석포리,답,시설,185.066917436,
4159037022107770094,paddy,경기도 화성시 장안면 석포리,답,밭,508.34104291,2024-12-31
4159037022107770012,paddy,경기도 화성시 장안면 석포리,답,밭,871.220168705,2024-12-31
4159037022107770011,paddy,경기도 화성시 장안면 석포리,답,밭,625.973071283,2024-12-31
4159037022107770004,paddy,경기도 화성시 장안면 석포리,답,논,4071.4785729,2024-12-31
4159037022108250017,paddy,경기도 화성시 장안면 석포리,답,논,3334.10584878,
4159037022107770081,paddy,경기도 화성시 장안면 석포리,답,논,3772.67967881,
4159037022107770049,paddy,경기도 화성시 장안면 석포리,답,논,6835.79757902,
4159037022107770038,paddy,경기도 화성시 장안면 석포리,답,밭,1286.96735872,2021-12-30
4159037022107770037,paddy,경기도 화성시 장안면 석포리,답,논,2972.68781776,
4159037022107770036,paddy,경기도 화성시 장안면 석포리,답,논,2990.89601783,
4159037022107770035,paddy,경기도 화성시 장안면 석포리,답,논,2962.20856235,
4159037022107770034,paddy,경기도 화성시 장안면 석포리,답,논,3159.25730542,
4159037022107770030,paddy,경기도 화성시 장안면 석포리,답,논,2786.45064411,
4159037022107770027,paddy,경기도 화성시 장안면 석포리,답,논,9408.48333014,
4159037022107770024,paddy,경기도 화성시 장안면 석포리,답,논,5458.64245329,
4159037022107770020,paddy,경기도 화성시 장안면 석포리,답,논,10749.6024404,
4159037022107770018,paddy,경기도 화성시 장안면 석포리,답,논,2417.05052581,
4159037022107770017,paddy,경기도 화성시 장안면 석포리,답,논,2750.77689206,
4159037022107770016,paddy,경기도 화성시 장안면 석포리,답,논,2999.62033591,
4159037022107770015,paddy,경기도 화성시 장안면 석포리,답,논,3008.26184972,
4159037022107770014,paddy,경기도 화성시 장안면 석포리,답,논,2861.91859178,
4159037022107770013,paddy,경기도 화성시 장안면 석포리,답,시설,228.54180959,
4159037022107770010,paddy,경기도 화성시 장안면 석포리,답,논,993.202755673,
4159037022107770008,paddy,경기도 화성시 장안면 석포리,답,논,3483.46798723,
4159037022107770007,paddy,경기도 화성시 장안면 석포리,답,논,4046.58626368,
4159037022110670000,paddy,경기도 화성시 장안면 석포리,답,시설,181.298669613,2024-12-31
4159037022110760000,paddy,경기도 화성시 장안면 석포리,답,밭,4114.29962983,2024-12-31
4159037022107830000,paddy,경기도 화성시 장안면 석포리,답,논,5831.25881018,2024-12-31
4159037022110630000,field,경기도 화성시 장안면 석포리,전,밭,1377.83673641,2024-12-31
4159037022110610000,paddy,경기도 화성시 장안면 석포리,답,논,5934.0902413,2024-12-31
4159037022107850096,field,경기도 화성시 장안면 석포리,염,밭,965.809082653,2024-12-31
4159037022107840005,field,경기도 화성시 장안면 석포리,전,시설,101.238505899,
4159037022107750006,paddy,경기도 화성시 장안면 석포리,답,밭,783.469711597,2024-12-31
4159037022110710000,field,경기도 화성시 장안면 석포리,전,논,3589.63349957,2022-12-30
